model,term,coef,se,p
M1,ai_user (uses AI vs. does not),0.16425090260405437,0.03402370381239671,1.3822765645821429e-06
M1,work_exp (years),0.0208757338155239,0.0013502182560825723,6.359656457111911e-54
M1,N,24354.0,,
M1,R-squared,0.016094519299343912,,
M2,"No, but I plan to soon",-0.05828470248702344,0.07062300460813703,0.40920501468840886
M2,"Yes, I use AI tools monthly or infrequently",0.008849850957748148,0.050408606363360045,0.8606378211655775
M2,"Yes, I use AI tools weekly",0.06517540089167774,0.04570278715173042,0.15384796545225815
M2,"Yes, I use AI tools daily",0.22068728001385088,0.039910304283955186,3.209956543060616e-08
M2,work_exp (years),0.02124753088758875,0.0013538904104467367,1.67066445454911e-55
M2,N,24354.0,,
M2,R-squared,0.017719361984703808,,
